"","NAME","NAME_ENGLISH","CONCEPT","BINOMIAL","RANK","VALID","phenosmall","phenobig","image","URL","new_concept","new_binomial","new_englishname","changed"
"166","Cidaria fulvata","Barred Yellow","Lep_6295","Cidaria fulvata","Species","V","phenology/VCidaria_fulvata.png","phenology/VCidaria_fulvata_big.png","barredyellow.jpg,1765barredyellow.jpg","http://ukmoths.org.uk/species/cidaria-fulvata","Lep_6295","Cidaria fulvata","Barred Yellow",FALSE
"167","Plemyria rubiginata","Blue-bordered Carpet","Lep_6298","Plemyria rubiginata","Species","V","phenology/VPlemyria_rubiginata.png","phenology/VPlemyria_rubiginata_big.png","blueborderedcarpetik.jpg,blueborderedcarpetlarvaik.jpg","http://ukmoths.org.uk/species/plemyria-rubiginata","Lep_6298","Plemyria rubiginata","Blue-bordered Carpet",FALSE
"168","Thera firmata","Pine Carpet","Lep_6301","Thera firmata","Species","V","phenology/VThera_firmata.png","phenology/VThera_firmata_big.png","","http://ukmoths.org.uk","Lep_6301","Pennithera firmata","Pine Carpet",TRUE
"169","Thera obeliscata","Grey Pine Carpet","Lep_6304","Thera obeliscata","Species","V","phenology/VThera_obeliscata.png","phenology/VThera_obeliscata_big.png","greypinecarpet.jpg,1768t_obeliscatanr.jpg,1768greypinecarpetrl.jpg,greypinecarpetngd.jpg,1768t_obeliscatalarvabs.jpg","http://ukmoths.org.uk/species/thera-obeliscata","Lep_6304","Thera obeliscata","Grey Pine Carpet",FALSE
"170","Thera britannica","Spruce Carpet","Lep_6307","Thera britannica","Species","V","phenology/VThera_britannica.png","phenology/VThera_britannica_big.png","1769t_britannicabs.jpg,1769sprucecarpet2.jpg,1769t_britannicalarvabs.jpg,1769t_britannicapupabs.jpg","http://ukmoths.org.uk/species/thera-britannica","Lep_6307","Thera britannica","Spruce Carpet",FALSE
"171","Thera cognata","Chestnut-coloured Carpet","Lep_6310","Thera cognata","Species","V","phenology/VThera_cognata.png","phenology/VThera_cognata_big.png","1770t_cognataph.jpg,1770chestnutcolouredcarpet2.jpg","http://ukmoths.org.uk/species/thera-cognata","Lep_6310","Thera cognata","Chestnut-coloured Carpet",FALSE
"172","Thera juniperata","Juniper Carpet","Lep_6313","Thera juniperata","Species","V","phenology/VThera_juniperata.png","phenology/VThera_juniperata_big.png","junipercarpetik.jpg,1771_thera_juniperata_ngd.jpg","http://ukmoths.org.uk/species/thera-juniperata","Lep_6313","Thera juniperata","Juniper Carpet",FALSE
"173","Thera cupressata","Cypress Carpet","Lep_6314","Thera cupressata","Species","V","phenology/VThera_cupressata.png","phenology/VThera_cupressata_big.png","cypresscarpetjs.jpg,1771at_cupressatajd.jpg","http://ukmoths.org.uk/species/thera-cupressata","Lep_6314","Thera cupressata","Cypress Carpet",FALSE
"174","Eustroma reticulatum","Netted Carpet","Lep_6316","Eustroma reticulatum","Species","V","phenology/VEustroma_reticulatum.png","phenology/VEustroma_reticulatum_big.png","","http://ukmoths.org.uk","Lep_6316","Eustroma reticulata",NA,TRUE
"175","Electrophaes corylata","Broken-barred Carpet","Lep_6319","Electrophaes corylata","Species","V","phenology/VElectrophaes_corylata.png","phenology/VElectrophaes_corylata_big.png","brokenbarredcarpet1.jpg,1773e_corylatanr.jpg,1773e_corylatangr.jpg,1773e_corylatanr2.jpg","http://ukmoths.org.uk/species/electrophaes-corylata","Lep_6319","Electrophaes corylata","Broken-barred Carpet",FALSE
"176","Colostygia olivata","Beech-green Carpet","Lep_6322","Colostygia olivata","Species","V","phenology/VColostygia_olivata.png","phenology/VColostygia_olivata_big.png","1774beechgreencarpet.jpg","http://ukmoths.org.uk/species/colostygia-olivata","Lep_6322","Colostygia olivata","Beech-green Carpet",FALSE
"177","Colostygia multistrigaria","Mottled Grey","Lep_6325","Colostygia multistrigaria","Species","V","phenology/VColostygia_multistrigaria.png","phenology/VColostygia_multistrigaria_big.png","1775c_multistrigariamwp.jpg,1775c_multistrigariafwp.jpg,mottledgreyirt.jpg,mottledgreyapril99.jpg","http://ukmoths.org.uk/species/colostygia-multistrigaria","Lep_6325","Colostygia multistrigaria","Mottled Grey",FALSE
"178","Colostygia pectinataria","Green Carpet","Lep_6328","Colostygia pectinataria","Species","V","phenology/VColostygia_pectinataria.png","phenology/VColostygia_pectinataria_big.png","1776_colostygia_pectinatariangd.jpg,1776greencarpet.jpg,1776c_pectinatarialarvabs.jpg","http://ukmoths.org.uk/species/colostygia-pectinataria","Lep_6328","Colostygia pectinataria","Green Carpet",FALSE
"179","Hydriomena furcata","July Highflyer","Lep_6331","Hydriomena furcata","Species","V","phenology/VHydriomena_furcata.png","phenology/VHydriomena_furcata_big.png","1777h_furcataik.jpg,1777h_furcatanr2.jpg,1777h_furcatanr.jpg,julyhighflyerlarva.jpg","http://ukmoths.org.uk/species/hydriomena-furcata","Lep_6331","Hydriomena furcata","July Highflyer",FALSE
"180","Hydriomena impluviata","May Highflyer","Lep_6334","Hydriomena impluviata","Species","V","phenology/VHydriomena_impluviata.png","phenology/VHydriomena_impluviata_big.png","mayhighflyer.jpg,1779_hydriomena_ruberatangd.jpg,1778h_impluviatalarvabs.jpg,1778h_impluviatalarvabs2.jpg","http://ukmoths.org.uk/species/hydriomena-impluviata","Lep_6334","Hydriomena impluviata","May Highflyer",FALSE
"181","Hydriomena ruberata","Ruddy Highflyer","Lep_6337","Hydriomena ruberata","Species","V","phenology/VHydriomena_ruberata.png","phenology/VHydriomena_ruberata_big.png","ruddyhighflyer.jpg,1779h_ruberatacj.jpg,1779h_ruberatacj2.jpg","http://ukmoths.org.uk/species/hydriomena-ruberata","Lep_6337","Hydriomena ruberata","Ruddy Highflyer",FALSE
"182","Coenocalpe lapidata","Slender-striped Rufous","Lep_6340","Coenocalpe lapidata","Species","V","phenology/VCoenocalpe_lapidata.png","phenology/VCoenocalpe_lapidata_big.png","1780slenderstripedrufousrl.jpg","http://ukmoths.org.uk/species/coenocalpe-lapidata","Lep_6340","Coenocalpe lapidata","Slender-striped Rufous",FALSE
"183","Horisme vitalbata","Small Waved Umber","Lep_6343","Horisme vitalbata","Species","V","phenology/VHorisme_vitalbata.png","phenology/VHorisme_vitalbata_big.png","1781_horisme_vitalbatangd.jpg,1781smallwavedumber.jpg","http://ukmoths.org.uk/species/horisme-vitalbata","Lep_6343","Horisme vitalbata","Small Waved Umber",FALSE
"184","Horisme tersata","The Fern","Lep_6346","Horisme tersata","Species","V","phenology/VHorisme_tersata.png","phenology/VHorisme_tersata_big.png","","http://ukmoths.org.uk","Lep_6346","Horisme tersata","The Fern",FALSE
"185","Melanthia procellata","Pretty Chalk Carpet","Lep_6352","Melanthia procellata","Species","V","phenology/VMelanthia_procellata.png","phenology/VMelanthia_procellata_big.png","1784prettychalkcarpet.jpg,1784m_procellatanp.jpg","http://ukmoths.org.uk/species/melanthia-procellata","Lep_6352","Melanthia procellata","Pretty Chalk Carpet",FALSE
"186","Pareulype berberata","Barberry Carpet","Lep_6355","Pareulype berberata","Species","V","phenology/VPareulype_berberata.png","phenology/VPareulype_berberata_big.png","","http://ukmoths.org.uk","Lep_6355","Pareulype berberata","Barberry Carpet",FALSE
"187","Spargania luctuata","White-banded Carpet","Lep_6358","Spargania luctuata","Species","V","phenology/VSpargania_luctuata.png","phenology/VSpargania_luctuata_big.png","1786_spargania_luctuatang-d.jpg","http://ukmoths.org.uk/species/spargania-luctuata","Lep_6358","Spargania luctuata","White-banded Carpet",FALSE
"188","Rheumaptera hastata","Argent & Sable","Lep_6361","Rheumaptera hastata","Species","V","phenology/VRheumaptera_hastata.png","phenology/VRheumaptera_hastata_big.png","1787r_hastatatb.jpg,argentandsable.jpg","http://ukmoths.org.uk/species/rheumaptera-hastata","Lep_6361","Rheumaptera hastata","Argent & Sable",FALSE
"189","Rheumaptera cervinalis","Scarce Tissue","Lep_6364","Rheumaptera cervinalis","Species","V","phenology/VRheumaptera_cervinalis.png","phenology/VRheumaptera_cervinalis_big.png","","http://ukmoths.org.uk","Lep_6364","Hydria cervinalis","Scarce Tissue",TRUE
"190","Rheumaptera undulata","Scallop Shell","Lep_6367","Rheumaptera undulata","Species","V","phenology/VRheumaptera_undulata.png","phenology/VRheumaptera_undulata_big.png","","http://ukmoths.org.uk","Lep_6367","Hydria undulata","Scallop Shell",TRUE
"191","Triphosa dubitata","The Tissue","Lep_6370","Triphosa dubitata","Species","V","phenology/VTriphosa_dubitata.png","phenology/VTriphosa_dubitata_big.png","1790t_dubitatacj.jpg","http://ukmoths.org.uk/species/triphosa-dubitata","Lep_6370","Triphosa dubitata","The Tissue",FALSE
"192","Philereme vetulata","Brown Scallop","Lep_6373","Philereme vetulata","Species","V","phenology/VPhilereme_vetulata.png","phenology/VPhilereme_vetulata_big.png","brownscallopamc.jpg","http://ukmoths.org.uk/species/philereme-vetulata","Lep_6373","Philereme vetulata","Brown Scallop",FALSE
"193","Philereme transversata","Dark Umber","Lep_6376","Philereme transversata","Species","V","phenology/VPhilereme_transversata.png","phenology/VPhilereme_transversata_big.png","1792darkumberrpj.jpg","http://ukmoths.org.uk/species/philereme-transversata","Lep_6376","Philereme transversata","Dark Umber",FALSE
"194","Euphyia biangulata","Cloaked Carpet","Lep_6379","Euphyia biangulata","Species","V","phenology/VEuphyia_biangulata.png","phenology/VEuphyia_biangulata_big.png","cloakedcarpetngd.jpg","http://ukmoths.org.uk/species/euphyia-biangulata","Lep_6379","Euphyia biangulata","Cloaked Carpet",FALSE
"195","Euphyia unangulata","Sharp-angled Carpet","Lep_6382","Euphyia unangulata","Species","V","phenology/VEuphyia_unangulata.png","phenology/VEuphyia_unangulata_big.png","1794e_unangulataph.jpg","http://ukmoths.org.uk/species/euphyia-unangulata","Lep_6382","Euphyia unangulata","Sharp-angled Carpet",FALSE
"196","Epirrita dilutata","November Moth","Lep_6385","Epirrita dilutata","Species","V","phenology/VEpirrita_dilutata.png","phenology/VEpirrita_dilutata_big.png","1795e_dilutatanr.jpg,novembermoth280998.jpg,1795novembermothlarvagf.jpg","http://ukmoths.org.uk/species/epirrita-dilutata","Lep_6385","Epirrita dilutata","November Moth",FALSE
"197","Epirrita christyi","Pale November Moth","Lep_6388","Epirrita christyi","Species","V","phenology/VEpirrita_christyi.png","phenology/VEpirrita_christyi_big.png","1796palenovembermothrl.jpg,1796palenovembermoth2rl.jpg,1796e_christyinr.jpg","http://ukmoths.org.uk/species/epirrita-christyi","Lep_6388","Epirrita christyi","Pale November Moth",FALSE
"198","Epirrita autumnata","Autumnal Moth","Lep_6391","Epirrita autumnata","Species","V","phenology/VEpirrita_autumnata.png","phenology/VEpirrita_autumnata_big.png","1797autumnalmoth.jpg,autumnalmoth.jpg,1797e_autumnatanr.jpg,1797autumnalmothlarvagf.jpg","http://ukmoths.org.uk/species/epirrita-autumnata","Lep_6391","Epirrita autumnata","Autumnal Moth",FALSE
"199","Epirrita filigrammaria","Small Autumnal Moth","Lep_6394","Epirrita filigrammaria","Species","V","phenology/VEpirrita_filigrammaria.png","phenology/VEpirrita_filigrammaria_big.png","1798epirritafiligrammaria.jpg","http://ukmoths.org.uk/species/epirrita-filigrammaria","Lep_6394","Epirrita filigrammaria","Small Autumnal Moth",FALSE
"200","Operophtera brumata","Winter Moth","Lep_6397","Operophtera brumata","Species","V","phenology/VOperophtera_brumata.png","phenology/VOperophtera_brumata_big.png","wintermothngd.jpg,1799operophterabrumataadultik.jpg,1799o_brumatalarvaik.jpg,1799wintermothlarvagf.jpg","http://ukmoths.org.uk/species/operophtera-brumata","Lep_6397","Operophtera brumata","Winter Moth",FALSE
"201","Operophtera fagata","Northern Winter Moth","Lep_6400","Operophtera fagata","Species","V","phenology/VOperophtera_fagata.png","phenology/VOperophtera_fagata_big.png","1800_operophtera_fagatangd.jpg,northernwintermothpha.jpg,northernwintermothfemaleik.jpg,1800o_fagatabs.jpg,1800o_fagatalarvabs.jpg","http://ukmoths.org.uk/species/operophtera-fagata","Lep_6400","Operophtera fagata","Northern Winter Moth",FALSE
"202","Perizoma taeniata","Barred Carpet","Lep_6403","Perizoma taeniata","Species","V","phenology/VPerizoma_taeniata.png","phenology/VPerizoma_taeniata_big.png","","http://ukmoths.org.uk","Lep_6403","Martania taeniata","Barred Carpet",TRUE
"203","Perizoma affinitata","The Rivulet","Lep_6406","Perizoma affinitata","Species","V","phenology/VPerizoma_affinitata.png","phenology/VPerizoma_affinitata_big.png","1802rivulet.jpg","http://ukmoths.org.uk/species/perizoma-affinitata","Lep_6406","Perizoma affinitata","The Rivulet",FALSE
"204","Perizoma alchemillata","Small Rivulet","Lep_6409","Perizoma alchemillata","Species","V","phenology/VPerizoma_alchemillata.png","phenology/VPerizoma_alchemillata_big.png","1803_perizoma_alchemillatangd.jpg,1803perizoma_alchemillataik.jpg,1803p_alchemillatalarvapc2.jpg,1803p_alchemillatalarvapc.jpg","http://ukmoths.org.uk/species/perizoma-alchemillata","Lep_6409","Perizoma alchemillata","Small Rivulet",FALSE
"205","Perizoma bifaciata","Barred Rivulet","Lep_6412","Perizoma bifaciata","Species","V","phenology/VPerizoma_bifaciata.png","phenology/VPerizoma_bifaciata_big.png","barredrivulet.jpg,1804p_bifaciatanp.jpg,1804p_bifaciatalarvarjh.jpg,1804p_bifaciatalarvabs.jpg","http://ukmoths.org.uk/species/perizoma-bifaciata","Lep_6412","Perizoma bifaciata","Barred Rivulet",FALSE
"206","Perizoma minorata","Heath Rivulet","Lep_6415","Perizoma minorata","Species","V","phenology/VPerizoma_minorata.png","phenology/VPerizoma_minorata_big.png","1805heathrivuletrl.jpg","http://ukmoths.org.uk/species/perizoma-minorata","Lep_6415","Perizoma minorata","Heath Rivulet",FALSE
"207","Perizoma blandiata","Pretty Pinion","Lep_6418","Perizoma blandiata","Species","V","phenology/VPerizoma_blandiata.png","phenology/VPerizoma_blandiata_big.png","1806prettypinionrl.jpg,prettypinionamc.jpg","http://ukmoths.org.uk/species/perizoma-blandiata","Lep_6418","Perizoma blandiata","Pretty Pinion",FALSE
"208","Perizoma albulata","Grass Rivulet","Lep_6421","Perizoma albulata","Species","V","phenology/VPerizoma_albulata.png","phenology/VPerizoma_albulata_big.png","1807grassrivulet.jpg,1807p_albulatawp.jpg","http://ukmoths.org.uk/species/perizoma-albulata","Lep_6421","Perizoma albulata","Grass Rivulet",FALSE
"209","Perizoma flavofasciata","Sandy Carpet","Lep_6424","Perizoma flavofasciata","Species","V","phenology/VPerizoma_flavofasciata.png","phenology/VPerizoma_flavofasciata_big.png","1808sandycarpet.jpg,sandycarpetlarvabs.jpg","http://ukmoths.org.uk/species/perizoma-flavofasciata","Lep_6424","Perizoma flavofasciata","Sandy Carpet",FALSE
"210","Perizoma didymata","Twin-spot Carpet","Lep_6427","Perizoma didymata","Species","V","phenology/VPerizoma_didymata.png","phenology/VPerizoma_didymata_big.png","","http://ukmoths.org.uk","Lep_6427","Mesotype didymata","Twin-spot Carpet",TRUE
"211","Perizoma sagittata","Marsh Carpet","Lep_6430","Perizoma sagittata","Species","V","phenology/VPerizoma_sagittata.png","phenology/VPerizoma_sagittata_big.png","","http://ukmoths.org.uk","Lep_6430","Gagitodes sagittata","Marsh Carpet",TRUE
"212","Eupithecia tenuiata","Slender Pug","Lep_6433","Eupithecia tenuiata","Species","V","phenology/VEupithecia_tenuiata.png","phenology/VEupithecia_tenuiata_big.png","1811e_tenuiatabs.jpg,slenderpug280702.jpg,slenderpug.jpg,1811e_tenuiatalarvabs.jpg","http://ukmoths.org.uk/species/eupithecia-tenuiata","Lep_6433","Eupithecia tenuiata","Slender Pug",FALSE
"213","Eupithecia inturbata","Maple Pug","Lep_6436","Eupithecia inturbata","Species","V","phenology/VEupithecia_inturbata.png","phenology/VEupithecia_inturbata_big.png","maplepugpha.jpg","http://ukmoths.org.uk/species/eupithecia-inturbata","Lep_6436","Eupithecia inturbata","Maple Pug",FALSE
"214","Eupithecia haworthiata","Haworth's Pug","Lep_6439","Eupithecia haworthiata","Species","V","phenology/VEupithecia_haworthiata.png","phenology/VEupithecia_haworthiata_big.png","haworthspug.jpg,1813e_haworthiatanp.jpg","http://ukmoths.org.uk/species/eupithecia-haworthiata","Lep_6439","Eupithecia haworthiata","Haworth's Pug",FALSE
"215","Eupithecia plumbeolata","Lead-coloured Pug","Lep_6442","Eupithecia plumbeolata","Species","V","phenology/VEupithecia_plumbeolata.png","phenology/VEupithecia_plumbeolata_big.png","1814e_plumbeolatatb.jpg,leadcolouredpugrw.jpg","http://ukmoths.org.uk/species/eupithecia-plumbeolata","Lep_6442","Eupithecia plumbeolata","Lead-coloured Pug",FALSE
"216","Eupithecia abietaria","Cloaked Pug","Lep_6445","Eupithecia abietaria","Species","V","phenology/VEupithecia_abietaria.png","phenology/VEupithecia_abietaria_big.png","clpug2ph.jpg","http://ukmoths.org.uk/species/eupithecia-abietaria","Lep_6445","Eupithecia abietaria","Cloaked Pug",FALSE
"217","Eupithecia linariata","Toadflax Pug","Lep_6448","Eupithecia linariata","Species","V","phenology/VEupithecia_linariata.png","phenology/VEupithecia_linariata_big.png","toadflaxpug.jpg,1816eupithecia_linariatalarvapc.jpg","http://ukmoths.org.uk/species/eupithecia-linariata","Lep_6448","Eupithecia linariata","Toadflax Pug",FALSE
"218","Eupithecia pulchellata","Foxglove Pug","Lep_6451","Eupithecia pulchellata","Species","V","phenology/VEupithecia_pulchellata.png","phenology/VEupithecia_pulchellata_big.png","1817e_pulchellatabs.jpg,foxglovepug020602.jpg,1817e_pulchellatalarvabs.jpg,1817e_pulchellatalarvabs2.jpg,1817foxglovepuglarva230702.jpg,foxglove_pug.jpg","http://ukmoths.org.uk/species/eupithecia-pulchellata","Lep_6451","Eupithecia pulchellata","Foxglove Pug",FALSE
"219","Eupithecia irriguata","Marbled Pug","Lep_6454","Eupithecia irriguata","Species","V","phenology/VEupithecia_irriguata.png","phenology/VEupithecia_irriguata_big.png","marbledpugph.jpg","http://ukmoths.org.uk/species/eupithecia-irriguata","Lep_6454","Eupithecia irriguata","Marbled Pug",FALSE
"220","Eupithecia exiguata","Mottled Pug","Lep_6457","Eupithecia exiguata","Species","V","phenology/VEupithecia_exiguata.png","phenology/VEupithecia_exiguata_big.png","1819_eupithecia_exiguatangd.jpg,mottledpuglarva.jpg,1819mottledpuglarvabs.jpg,1819mottledpugpupabs.jpg","http://ukmoths.org.uk/species/eupithecia-exiguata","Lep_6457","Eupithecia exiguata","Mottled Pug",FALSE
"221","Eupithecia insigniata","Pinion-spotted Pug","Lep_6460","Eupithecia insigniata","Species","V","phenology/VEupithecia_insigniata.png","phenology/VEupithecia_insigniata_big.png","1820e_insigniataph.jpg,1820pinionspottedpuggf.jpg","http://ukmoths.org.uk/species/eupithecia-insigniata","Lep_6460","Eupithecia insigniata","Pinion-spotted Pug",FALSE
"222","Eupithecia valerianata","Valerian Pug","Lep_6463","Eupithecia valerianata","Species","V","phenology/VEupithecia_valerianata.png","phenology/VEupithecia_valerianata_big.png","valerianpugph.jpg,1821_e_valerianatanp.jpg","http://ukmoths.org.uk/species/eupithecia-valerianata","Lep_6463","Eupithecia valerianata","Valerian Pug",FALSE
"223","Eupithecia pygmaeata","Marsh Pug","Lep_6466","Eupithecia pygmaeata","Species","V","phenology/VEupithecia_pygmaeata.png","phenology/VEupithecia_pygmaeata_big.png","marshpugbs.jpg,1822marshpug2rl.jpg","http://ukmoths.org.uk/species/eupithecia-pygmaeata","Lep_6466","Eupithecia pygmaeata","Marsh Pug",FALSE
"224","Eupithecia venosata","Netted Pug","Lep_6469","Eupithecia venosata","Species","V","phenology/VEupithecia_venosata.png","phenology/VEupithecia_venosata_big.png","nettedpug140602.jpg,1823_eupithecia_venosatangd.jpg,1823nettedpug.jpg","http://ukmoths.org.uk/species/eupithecia-venosata","Lep_6469","Eupithecia venosata","Netted Pug",FALSE
"225","Eupithecia egenaria","Pauper Pug","Lep_6472","Eupithecia egenaria","Species","V","phenology/VEupithecia_egenaria.png","phenology/VEupithecia_egenaria_big.png","pauperpugamc.jpg","http://ukmoths.org.uk/species/eupithecia-egenaria","Lep_6472","Eupithecia egenaria","Pauper Pug",FALSE
"226","Eupithecia centaureata","Lime-speck Pug","Lep_6475","Eupithecia centaureata","Species","V","phenology/VEupithecia_centaureata.png","phenology/VEupithecia_centaureata_big.png","1825eupithecia_centaureataik.jpg,1825_lime-speck_pug_larva.jpg,eupitheciacentaureatabh.jpg","http://ukmoths.org.uk/species/eupithecia-centaureata","Lep_6475","Eupithecia centaureata","Lime-speck Pug",FALSE
"227","Eupithecia trisignaria","Triple-spotted Pug","Lep_6478","Eupithecia trisignaria","Species","V","phenology/VEupithecia_trisignaria.png","phenology/VEupithecia_trisignaria_big.png","1826triplespottedpug1frl.jpg,1826triplespottedpug1mrl.jpg","http://ukmoths.org.uk/species/eupithecia-trisignaria","Lep_6478","Eupithecia trisignaria","Triple-spotted Pug",FALSE
"228","Eupithecia intricata","Freyer's Pug","Lep_6481","Eupithecia intricata","Species","V","phenology/VEupithecia_intricata.png","phenology/VEupithecia_intricata_big.png","freyerspug.jpg,1827e_intricataik.jpg,1827e_intricatanp.jpg,1827eupithecia_intricatakh.jpg,freyerspuglarva.jpg,freyerspuglarva2.jpg","http://ukmoths.org.uk/species/eupithecia-intricata","Lep_6481","Eupithecia intricata","Freyer's Pug",FALSE
"229","Eupithecia satyrata","Satyr Pug","Lep_6484","Eupithecia satyrata","Species","V","phenology/VEupithecia_satyrata.png","phenology/VEupithecia_satyrata_big.png","satyrpugph.jpg,1828e_satyratanr.jpg","http://ukmoths.org.uk/species/eupithecia-satyrata","Lep_6484","Eupithecia satyrata","Satyr Pug",FALSE
"230","Eupithecia absinthiata","Wormwood Pug","Lep_6490","Eupithecia absinthiata","Species","V","phenology/VEupithecia_absinthiata.png","phenology/VEupithecia_absinthiata_big.png","wormwoodpug.jpg,lingpug.jpg,wormwoodpuglarvabs.jpg,wormwoodpuglarvabs2.jpg","http://ukmoths.org.uk/species/eupithecia-absinthiata","Lep_6490","Eupithecia absinthiata","Wormwood Pug",FALSE
"231","Eupithecia goossensiata","Ling Pug","Lep_6493","Eupithecia goossensiata","Species","V","phenology/VEupithecia_goossensiata.png","phenology/VEupithecia_goossensiata_big.png","","http://ukmoths.org.uk","Lep_6493","Eupithecia absinthiata","Ling Pug",TRUE
"232","Eupithecia assimilata","Currant Pug","Lep_6496","Eupithecia assimilata","Species","V","phenology/VEupithecia_assimilata.png","phenology/VEupithecia_assimilata_big.png","1832e_assimilatabs.jpg,currantpug1.jpg,1832e_assimilatabslarva.jpg,1832e_assimilatabslarva2.jpg","http://ukmoths.org.uk/species/eupithecia-assimilata","Lep_6496","Eupithecia assimilata","Currant Pug",FALSE
"233","Eupithecia expallidata","Bleached Pug","Lep_6499","Eupithecia expallidata","Species","V","phenology/VEupithecia_expallidata.png","phenology/VEupithecia_expallidata_big.png","1833bleachedpugrpj.jpg","http://ukmoths.org.uk/species/eupithecia-expallidata","Lep_6499","Eupithecia expallidata","Bleached Pug",FALSE
"234","Eupithecia vulgata","Common Pug","Lep_6502","Eupithecia vulgata","Species","V","phenology/VEupithecia_vulgata.png","phenology/VEupithecia_vulgata_big.png","commonpug1.jpg,1834commonpugsspscoticarl.jpg","http://ukmoths.org.uk/species/eupithecia-vulgata","Lep_6502","Eupithecia vulgata","Common Pug",FALSE
"235","Eupithecia tripunctaria","White-spotted Pug","Lep_6505","Eupithecia tripunctaria","Species","V","phenology/VEupithecia_tripunctaria.png","phenology/VEupithecia_tripunctaria_big.png","whitespottedpug.jpg","http://ukmoths.org.uk/species/eupithecia-tripunctaria","Lep_6505","Eupithecia tripunctaria","White-spotted Pug",FALSE
"236","Eupithecia denotata","Campanula Pug","Lep_6508","Eupithecia denotata","Species","V","phenology/VEupithecia_denotata.png","phenology/VEupithecia_denotata_big.png","1836campanulapugfrl.jpg,1836_e_denotatanp.jpg","http://ukmoths.org.uk/species/eupithecia-denotata","Lep_6508","Eupithecia denotata","Campanula Pug",FALSE
"237","Eupithecia subfuscata","Grey Pug","Lep_6511","Eupithecia subfuscata","Species","V","phenology/VEupithecia_subfuscata.png","phenology/VEupithecia_subfuscata_big.png","1837eupithecia_subfuscataik.jpg","http://ukmoths.org.uk/species/eupithecia-subfuscata","Lep_6511","Eupithecia subfuscata","Grey Pug",FALSE
"238","Eupithecia icterata","Tawny Speckled Pug","Lep_6514","Eupithecia icterata","Species","V","phenology/VEupithecia_icterata.png","phenology/VEupithecia_icterata_big.png","1838tawnyspeckledpugsspcognatarl.jpg,1838eupitheciaicterataik.jpg,1838e_icteratanr.jpg","http://ukmoths.org.uk/species/eupithecia-icterata","Lep_6514","Eupithecia icterata","Tawny Speckled Pug",FALSE
"239","Eupithecia succenturiata","Bordered Pug","Lep_6517","Eupithecia succenturiata","Species","V","phenology/VEupithecia_succenturiata.png","phenology/VEupithecia_succenturiata_big.png","1839eupitheciasuccenturiataik.jpg,borderedpug300702.jpg,borderedpuglarvabs.jpg,borderedpuglarvabs2.jpg","http://ukmoths.org.uk/species/eupithecia-succenturiata","Lep_6517","Eupithecia succenturiata","Bordered Pug",FALSE
"240","Eupithecia subumbrata","Shaded Pug","Lep_6520","Eupithecia subumbrata","Species","V","phenology/VEupithecia_subumbrata.png","phenology/VEupithecia_subumbrata_big.png","shadedpug.jpg","http://ukmoths.org.uk/species/eupithecia-subumbrata","Lep_6520","Eupithecia subumbrata","Shaded Pug",FALSE
"241","Eupithecia millefoliata","Yarrow Pug","Lep_6523","Eupithecia millefoliata","Species","V","phenology/VEupithecia_millefoliata.png","phenology/VEupithecia_millefoliata_big.png","1841yarrowpugmrl.jpg,1841yarrowpugm2rl.jpg","http://ukmoths.org.uk/species/eupithecia-millefoliata","Lep_6523","Eupithecia millefoliata","Yarrow Pug",FALSE
"242","Eupithecia simpliciata","Plain Pug","Lep_6526","Eupithecia simpliciata","Species","V","phenology/VEupithecia_simpliciata.png","phenology/VEupithecia_simpliciata_big.png","plainpug.jpg","http://ukmoths.org.uk/species/eupithecia-simpliciata","Lep_6526","Eupithecia simpliciata","Plain Pug",FALSE
"243","Eupithecia sinuosaria","Goosefoot Pug","Lep_6527","Eupithecia sinuosaria","Species","V","phenology/VEupithecia_sinuosaria.png","phenology/VEupithecia_sinuosaria_big.png","","http://ukmoths.org.uk","Lep_6527","Eupithecia sinuosaria","Goosefoot Pug",FALSE
"244","Eupithecia distinctaria","Thyme Pug","Lep_6529","Eupithecia distinctaria","Species","V","phenology/VEupithecia_distinctaria.png","phenology/VEupithecia_distinctaria_big.png","thymepuglg.jpg","http://ukmoths.org.uk/species/eupithecia-distinctaria","Lep_6529","Eupithecia distinctaria","Thyme Pug",FALSE
"245","Eupithecia indigata","Ochreous Pug","Lep_6532","Eupithecia indigata","Species","V","phenology/VEupithecia_indigata.png","phenology/VEupithecia_indigata_big.png","ochreouspug.jpg,1844e_indigatagr.jpg,1844e_indigatanr.jpg","http://ukmoths.org.uk/species/eupithecia-indigata","Lep_6532","Eupithecia indigata","Ochreous Pug",FALSE
"246","Eupithecia pimpinellata","Pimpinel Pug","Lep_6535","Eupithecia pimpinellata","Species","V","phenology/VEupithecia_pimpinellata.png","phenology/VEupithecia_pimpinellata_big.png","pimpinelpug.jpg","http://ukmoths.org.uk/species/eupithecia-pimpinellata","Lep_6535","Eupithecia pimpinellata","Pimpinel Pug",FALSE
"247","Eupithecia nanata","Narrow-winged Pug","Lep_6538","Eupithecia nanata","Species","V","phenology/VEupithecia_nanata.png","phenology/VEupithecia_nanata_big.png","1846e_nanatabs.jpg,1846e_nanatanr.jpg,1846eupitheciananata2ik.jpg,1846e_nanatacj.jpg,1846e_nanatalarvabs.jpg","http://ukmoths.org.uk/species/eupithecia-nanata","Lep_6538","Eupithecia nanata","Narrow-winged Pug",FALSE
